id,fuente,categoria,semana,dia,canal,titulo,descripcion,prioridad,deadline,estado,autor,tipo_media,preview_url,thumbnail_url,comentarios_staff,fecha_actualizacion
GH-001,GTAHUB Interno,Video Corto,Mensual,-,TikTok,Cómo conseguir trabajo en GTA HUB,Video corto 15-30s formato sketch mostrando el proceso de aplicar a un trabajo en el servidor con humor y tips reales.,Alta,Semana 1,Pendiente,Eleevate,video,,,,
GH-002,GTAHUB Interno,Video Corto,Mensual,-,TikTok,Visitando los mejores centros nocturnos del servidor,Tour rápido por los hotspots nocturnos con cortes dinámicos y testimonios de clientes IC.,Media,Semana 1,Pendiente,Eleevate,video,,,,
GH-003,GTAHUB Interno,Video Corto,Mensual,-,TikTok,Experiencias dentro del roleplay,Compilado de momentos auténticos de RP del mes con storytelling corto.,Media,Semana 2,Pendiente,Eleevate,video,,,,
GH-004,GTAHUB Interno,Video Corto,Mensual,-,TikTok,Momentos virales / clips destacados,Recopilación de los clips más virales de streamers y jugadores del servidor.,Alta,Semana 2,Pendiente,Eleevate,video,,,,
GH-005,GTAHUB Interno,Video Corto,Mensual,-,TikTok,Premios dentro del evento,Showcase de los premios entregados en el último evento con reacciones de ganadores.,Media,Semana 3,Pendiente,Eleevate,video,,,,
GH-006,GTAHUB Interno,Video Corto,Mensual,-,TikTok,Recopilaciones reales de interacciones,Mejores interacciones IC del mes editadas con ritmo y subtítulos.,Media,Semana 3,Pendiente,Eleevate,video,,,,
GH-007,GTAHUB Interno,Video Corto,Mensual,-,TikTok,Sketch original sin audios saturados (1),Contenido original con idea propia evitando trending audios reciclados.,Media,Semana 4,Pendiente,Eleevate,video,,,,
GH-008,GTAHUB Interno,Video Corto,Mensual,-,TikTok,Sketch original sin audios saturados (2),Segundo sketch con guion original alineado al universo GTAHUB.,Media,Semana 4,Pendiente,Eleevate,video,,,,
GH-009,GTAHUB Interno,Activación,Mensual,-,Servidor,Car Show,Evento masivo de exhibición de autos con votación comunitaria y premios HUBCoins.,Alta,Mes 1,Pendiente,Eleevate,evento,,,,
GH-010,GTAHUB Interno,Activación,Mensual,-,Servidor,Boat Show,Evento náutico en el muelle con desfile de embarcaciones y categorías de premiación.,Media,Mes 1,Pendiente,Eleevate,evento,,,,
GH-011,GTAHUB Interno,Activación,Mensual,-,Servidor,Noche bélica,Sesión temática de combate controlado con reglas IC y cobertura de streamers.,Alta,Mes 1,Pendiente,Eleevate,evento,,,,
GH-012,GTAHUB Interno,Activación,Mensual,-,Servidor,Noche de ruta,Caravana nocturna con punto de encuentro y ruta definida por la ciudad.,Media,Mes 2,Pendiente,Eleevate,evento,,,,
GH-013,GTAHUB Interno,Activación,Mensual,-,Servidor,Evento temático RP,Activación con narrativa específica (festival/competencia/feria) involucrando facciones.,Alta,Mes 2,Pendiente,Eleevate,evento,,,,
PM-001,Plan MKT Externo,Setup,Fase 1,-,Estrategia,Setup canal Twitter/X corporativo,Apertura y configuración de cuenta unificada GTAHUB en Twitter. Cero costo, alto retorno de visibilidad.,Crítica,Día 1-7,Pendiente,Eleevate,documento,,,,
PM-002,Plan MKT Externo,Setup,Fase 1,-,Estrategia,Setup canal TikTok oficial,Apertura de canal TikTok y definición de pilares de contenido.,Alta,Día 1-7,Pendiente,Eleevate,documento,,,,
PM-003,Plan MKT Externo,Setup,Fase 1,-,Email,Segmentación email en 5 buckets,Definir y crear los 5 segmentos: VIP / activos / inactivos 30d / inactivos 90d / nuevos sin facción.,Crítica,Día 1-14,Pendiente,Eleevate,documento,,,,
PM-004,Plan MKT Externo,Setup,Fase 1,-,Tracking,Sistema de códigos por streamer,Generar y asignar códigos únicos a los 10 streamers para atribución de adquisición.,Alta,Día 1-14,Pendiente,Eleevate,documento,,,,
PM-005,Plan MKT Externo,Setup,Fase 1,-,Tracking,Dashboard de tracking interno,Panel para monitorear ingresos HUBCoins reactivaciones y nuevos jugadores atribuibles.,Alta,Día 8-21,Pendiente,Eleevate,documento,,,,
PM-006,Plan MKT Externo,Setup,Fase 1,-,Tracking,Landing pages por código,Crear landings personalizadas por código de streamer con pixel de tracking.,Media,Día 15-30,Pendiente,Eleevate,documento,,,,
S1-001,Plan MKT Externo,Semana Organizaciones,Sem 1,Lunes,Discord,Org of the Week — Post fijado,Post pinneado 10:00 anunciando la organización destacada de la semana con stats e historia.,Alta,Lunes Sem 1,Pendiente,Eleevate,copy,,,,
S1-002,Plan MKT Externo,Semana Organizaciones,Sem 1,Lunes,Twitter,Hilo 6 tweets Org of the Week,Hilo de 6 tweets 14:00 con historia miembros conquistas y rivalidades de la org destacada.,Alta,Lunes Sem 1,Pendiente,Eleevate,copy,,,,
S1-003,Plan MKT Externo,Semana Organizaciones,Sem 1,Lunes,TikTok,Highlight reel 30s de la org,Clip 30s con hip-hop oscuro mostrando los mejores momentos del mes de la org.,Alta,Lunes Sem 1,Pendiente,Eleevate,video,,,,
S1-004,Plan MKT Externo,Semana Organizaciones,Sem 1,Lunes,Email,Email segmento general activo — org,Email a activos con asunto sobre la org destacada y CTA a leer la historia.,Media,Lunes Sem 1,Pendiente,Eleevate,copy,,,,
S1-005,Plan MKT Externo,Semana Organizaciones,Sem 1,Martes,Discord,Anuncio Conquista x2,Post Discord activando recompensas dobles en conquista de dealer hasta 23:59.,Alta,Martes Sem 1,Pendiente,Eleevate,copy,,,,
S1-006,Plan MKT Externo,Semana Organizaciones,Sem 1,Martes,In-game,Notificación login Conquista x2,Aviso al loguear sobre la activación de Conquista x2 hasta 23:59.,Alta,Martes Sem 1,Pendiente,Eleevate,copy,,,,
S1-007,Plan MKT Externo,Semana Organizaciones,Sem 1,Martes,Twitter,Tweet Conquista x2 24h,Tweet con copy provocador sobre 24 horas de recompensas dobles 8 dealers en juego.,Media,Martes Sem 1,Pendiente,Eleevate,copy,,,,
S1-008,Plan MKT Externo,Semana Organizaciones,Sem 1,Miércoles,TikTok,Clip 45s Mejor Robo del Mes,Clip 45s con cortes rápidos y música cinematográfica del robo más espectacular del mes.,Alta,Miércoles Sem 1,Pendiente,Eleevate,video,,,,
S1-009,Plan MKT Externo,Semana Organizaciones,Sem 1,Miércoles,Discord,Reto comunitario Mejor Robo,Post invitando a comentar el mejor golpe del mes pasado — el más votado se sube a TikTok.,Media,Miércoles Sem 1,Pendiente,Eleevate,copy,,,,
